what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.rename.element",1374498497661
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1374498502117
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1374498502191
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1374498507534
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374498512402
error,log,,,"Failed to load properties file for project 'WorkshopTesting'",1374498536314
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374498536412
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1374498536460
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374498544477
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374498549741
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1374498549748
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374498550285
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374498588271
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374498588582
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374498591558
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1374498597484
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374498598564
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374499416232
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1374499418978
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374499425354
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374499428691
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374499441083
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374499538117
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374499543744
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374499556708
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1374499556717
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374499567051
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374499587852
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1374499588237
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1374499588309
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1374499594895
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374499597530
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374499607852
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1374499609996
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1374499610985
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374499612449
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374499614843
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374499616257
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374499617916
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1374499625442
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374499628200
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374499630227
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1374499631694
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374499633888
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374499723815
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1374499726483
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1374499732600
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374499736286
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374499738160
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1374499738560
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1374499738634
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1374499739887
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1374499740858
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1374499742935
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1374499744972
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1374499745481
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1374499750771
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1374499754453
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1374499757492
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1374499757775
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1374499758040
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1374499758358
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1374499758668
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1374499758933
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1374499759193
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1374499759541
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1374499765837
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1374499767241
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1374499770869
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374499776896
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1374499779841
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374499779929
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1374499779936
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1374499779936
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1374499787199
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1374499792492
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1374499792760
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374499794202
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374500107672
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374500115149
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374500295646
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1374500297735
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374500300514
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1374500306597
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1374500306614
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374500306713
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1374500306719
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1374500306720
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1374500309761
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1374500310174
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1374500311177
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374500312161
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374500328538
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1374500329186
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374500337367
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374500353054
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374500374509
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374500490689
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374500491787
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374500498234
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1374500499540
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1374500501201
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374500506031
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374500506233
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1374500511877
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374500516948
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374500517092
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374500520460
